time,code,vol
20210115,JB342,316
20210115,JB344,1157
20210115,JB345,519
20210115,JB346,1034
20210115,JB348,158
20210115,JB353,72
20210115,JL85,6
20210115,JL86,41
20210115,JL87,3
20210115,JL88,14
20210115,JL89,5
20210115,JL90,204
20210115,JL91,150
20210115,JL92,17
20210115,JL93,195
20210115,JL94,86
20210115,JL146,126
20210115,JL153,144
20210115,JL154,291
20210115,JL157,6
20210115,JX22,404
20210115,JX23,28
20210122,JN408,62
20210122,JN411,29
20210122,JN412,9
20210122,JN416,35
20210122,JN418,617
20210122,JS132,39
20210122,JS133,73
20210122,JS134,2
20210122,JS136,33
20210122,JS137,8
20210122,JS138,24
20210122,JS139,36
20210122,JS140,15
20210122,JS141,18
20210122,JS142,104
20210122,JS145,74
20210122,JB330,1062
20210122,JB331,107
20210122,JB332,166
20210122,JB333,51
20210122,JB334,28
20210122,JB335,566
20210122,JB338,250
20210122,JB339,7
20210122,JB340,154
20210122,JL59,20
20210122,JL63,14
20210122,JL64,206
20210122,JL68,23
20210122,JL70,45
20210122,JL75,58
20210122,JL77,2
20210122,JL78,16
20210122,JL80,24
20210122,JL82,8
20210210,JL158,1915
20210210,JL161,15
20210210,JX31,490
20210210,JX32,173
20210210,JX33,8
20210210,JX41,33
20210210,JX42,7
20210210,JX43,12
20210210,JX44,56
20210210,JX46,210
20210210,JX51,15
20210210,JX53,46
20210210,JX54,116
20210210,JX55,19
20210210,JX56,20
20210210,JX63,435
20210210,JX68,217
20210210,JU3,38
20210210,JU4,123
20210210,JU5,3
20210210,JU6,3
20210210,JU7,3
20210210,JU8,191
20210210,JU9,284
20210210,JU10,556
20210224,JB342,1185
20210224,JB345,245
20210224,JB347,1445
20210224,JB348,35
20210224,JB351,524
20210224,JB354,18
20210224,JL86,1
20210224,JL95,170
20210224,JL96,87
20210224,JL98,10
20210224,JL99,81
20210224,JL100,36
20210224,JL101,7
20210224,JL102,185
20210224,JL103,342
20210224,JL104,207
20210224,JL105,10
20210224,JL106,88
20210224,JL107,14
20210224,JL108,57
20210224,JL130,1
20210224,JL131,12
20210224,JX4,109
20210224,JX7,7
20210224,JX23,109
20210316,JB343,20
20210316,JB350,344
20210316,JB354,70
20210316,JB357,163
20210316,JB358,60
20210316,JL88,50
20210316,JL93,25
20210316,JL94,25
20210316,JL98,50
20210316,JL101,33
20210316,JL109,196
20210316,JL110,195
20210316,JL131,20
20210316,JL138,20
20210316,JL143,64
20210316,JL144,11
20210316,JL145,33
20210316,JL146,454
20210316,JL147,67
20210316,JL148,147
20210316,JL150,40
20210316,JL153,621
20210316,JL154,309
20210316,JL155,924
20210316,JL156,150
20210316,JL157,19
20210316,JX8,5
20210316,JX13,15
20210316,JX15,18
20210316,JX17,7
20210316,JX20,367
20210316,JX23,460
20210323,JS132,58
20210323,JS135,49
20210323,JS136,45
20210323,JS137,33
20210323,JS138,474
20210323,JS139,178
20210323,JS140,32
20210323,JS141,6
20210323,JS143,7
20210323,JB322,14
20210323,JB324,250
20210323,JB328,131
20210323,JB329,44
20210323,JB330,121
20210323,JB331,53
20210323,JB332,742
20210323,JB333,150
20210323,JB334,182
20210323,JB335,160
20210323,JB336,79
20210323,JB337,91
20210323,JB338,267
20210323,JB339,100
20210323,JL57,69
20210323,JL58,54
20210323,JL60,1
20210323,JL61,25
20210323,JL62,11
20210323,JL66,210
20210323,JL67,15
20210323,JL68,36
20210323,JL69,98
20210323,JL74,12
20210323,JL75,63
20210323,JL76,14
20210323,JL77,82
20210323,JL79,24
20210323,JL80,8
20210323,JL82,3
20220324,JN429,209
20220324,JN430,34
20220324,JN431,34
20220324,JN433,34
20220324,JS137,132
20220324,JS138,96
20220324,JS139,229
20220324,JS140,16
20220324,JS142,150
20220324,JS143,46
20220324,JS144,165
20220324,JS149,170
20220324,JB332,438
20220324,JB333,20
20220324,JB334,115
20220324,JB336,3
20220324,JB337,120
20220324,JB338,783
20220324,JB339,571
20220324,JB340,65
20220324,JB341,81
20220324,JL68,90
20220324,JL70,300
20220324,JL71,10
20220324,JL73,7
20220324,JL75,15
20220324,JL80,5
20220324,JL82,5
20220324,JL86,2
20220324,JL88,1
20220324,JL89,13
20220324,JL91,6
20220324,JL92,26
20220419,JB348,545
20220419,JB349,374
20220419,JB354,170
20220419,JB355,1426
20220419,JB356,1696
20220419,JB359,11
20220419,JL97,29
20220419,JL107,35
